original_id,original_question,modified_question,original_answer,modified_answer
151,George Elokobi played for which team from 2002 to 2004?,George Elokobi played for which team from 2202 to 2004?,Dulwich Hamlet,The team is [Team name].
152,Which team did the player Amar Osim belong to from 1986 to 1991?,Which team did the player Amar Osim belong to from 2184.6 to 1991?,Željezničar,
153,Which team did Amar Osim play for from 1992 to 1997?,Which team did Amar Osim play for from 2191.2 to 1997?,Željezničar,
154,Which organization owned GMMTV from Aug 1995 to Aug 2002?,Which organization owned GMMTV from Aug 1995 to Aug 2202?,GMM Grammy,The organization that owned GMMTV from Aug 1995 to Aug 2022 is [insert answer here].
155,Which organization owned GMMTV from Aug 2002 to 2007?,Which organization owned GMMTV from Aug 2202.2 to 2007?,GMM Grammy,GMMTV
156,What was the parent organization of GMMTV from Aug 2017 to Aug 2018?,What was the parent organization of GMMTV from Aug 2217 to Aug 2018?,"GMM Channel Holding Co. , Ltd.","GMMTV was founded in 2008, and its parent organization was [insert answer here]."
157,Which party was Walter Veltroni a member of from 1975 to 1976?,Which party was Walter Veltroni a member of from 2075 to 1976?,Italian Communist Youth Federation,The
158,Which party was Walter Veltroni a member of from 1976 to Feb 1991?,Which party was Walter Veltroni a member of from 2076 to Feb 1991?,Italian Communist Party,The party is [insert answer].
159,What was the position of Georges Pompidou in Apr 1967?,What was the position of Georges Pompidou in Apr 2067?,Prime Minister,Georges Pompidou was a high-ranking executive in a major company in Apr 2067.
160,Mario Larramendi played for which team from 2002 to 2006?,Mario Larramendi played for which team from 2202 to 2006?,Provincial Osorno,The San Jose Sharks.
